043465  14     101263999.618112     101264022.483024     22.865 2007-03-18 00:53:19	 134217727.528436 134217750.863570	UNK	  0  1  1  0  0	  0 	 166	 0	 0	 0
043465  13     101263896.690480     101263919.571408     22.881 2007-03-18 00:51:36	 134217727.601396 134217750.875415	UNK	  0  1  1  0  0	  0 	 0	 0	 177	 0
043465  12     101263869.522592     101263892.435504     22.913 2007-03-18 00:51:09	 134217727.553124 134217750.903462	UNK	  0  1  1  0  0	  0 	 0	 179	 0	 0
043465  11     101263820.706800     101263843.283696     22.577 2007-03-18 00:50:20	 134217727.519621 134217750.573415	UNK	  0  1  1  1  0	  1 	   15   0      0      0 	 180	 0	 0	 0
043465  10     101263785.554928     101263789.011888      3.457 2007-03-18 00:49:45	 134217727.515484 134217731.448536	UNK	  0  0  1  0  0	  0 	 0	 29	 0	 0
043465   9     101263701.203216     101263704.532208      3.329 2007-03-18 00:48:21	 134217727.572892 134217731.328389	UNK	  0  0  1  1  0	  1 	   15   0      0      0 	 30	 0	 0	 0
043465   8     101263691.123248     101263694.292240      3.169 2007-03-18 00:48:11	 134217727.557050 134217731.166189	UNK	  0  0  1  1  0	  1 	   15   0      0      0 	 0	 29	 0	 0
043465   7     101263671.027328     101263674.324320      3.297 2007-03-18 00:47:51	 134217727.570860 134217731.291193	UNK	  0  0  1  0  0	  0 	 30	 0	 0	 0
043465   6     101263663.395344     101263666.644352      3.249 2007-03-18 00:47:43	 134217727.579309 134217731.243933	UNK	  0  0  1  0  0	  0 	 0	 29	 0	 0
043465   5     101263623.091504     101263629.268480      6.177 2007-03-18 00:47:03	 134217727.592598 134217734.173235	UNK	  0  0  1  1  0	  1 	   15   0      0      0 	 51	 0	 0	 0
043465   4     101263576.451680     101263590.868624     14.417 2007-03-18 00:46:16	 134217727.590877 134217742.409408	UNK	  0  0  1  1  0	  1 	   15   0      0      0 	 0	 115	 0	 0
043465   3     101263508.131920     101263511.508928      3.377 2007-03-18 00:45:08	 134217727.553438 134217731.370541	UNK	  0  0  1  1  0	  1 	   15   0      0      0 	 29	 0	 0	 0
043465   2     101263457.476112     101263460.821104      3.345 2007-03-18 00:44:17	 134217727.560827 134217731.341216	UNK	  0  0  1  1  0	  1 	   15   0      0      0 	 0	 30	 0	 0
043465   1     101263229.044960     101263232.469952      3.425 2007-03-18 00:40:29	 134217727.599004 134217731.420294	UNK	  0  0  1  1  0	  1 	   15   0      0      0 	 33	 0	 0	 0
