run	 4060
rate	 30.25
plane	 bar	 rate (evt/s)	 sigma
X	      1		 30.2	 5.6
X	      2		 30.2	 5.6
X	      3		 30.2	 5.6
X	      4		 30.2	 5.6
X	      5		 30.2	 5.6
X	      6		 30.2	 5.6
X	      7		 30.2	 5.6
X	      8		 30.2	 5.6
X	      9		 30.2	 5.6
X	     10		 30.2	 5.6
X	     11		 30.2	 5.6
X	     12		 30.2	 5.6
X	     13		 30.2	 5.6
X	     14		 30.2	 5.6
X	     15		 30.2	 5.6
Z	      1		 30.2	 5.6
Z	      2		 30.2	 5.6
Z	      3		 30.2	 5.6
Z	      4		 30.2	 5.6
Z	      5		 30.2	 5.6
Z	      6		 30.2	 5.6
Z	      7		 30.2	 5.6
Z	      8		 30.2	 5.6
Z	      9		 30.2	 5.6
Z	     10		 30.2	 5.6
Z	     11		 30.2	 5.6
Z	     12		 30.2	 5.6
Z	     13		 30.2	 5.6
Z	     14		 30.2	 5.6
Z	     15		 30.2	 5.6
