run	 336
rate	 915.97
plane	 bar	 rate (evt/s)	 sigma
X	      1		 31.0	 5.6
X	      2		 31.7	 5.6
X	      3		 20.7	 4.5
X	      4		 36.8	 6.2
X	      5		 34.9	 6.0
X	      6		 37.1	 6.0
X	      7		 43.5	 6.6
X	      8		 35.0	 5.8
X	      9		 26.1	 5.1
X	     10		 39.2	 6.3
X	     11		 31.4	 5.6
X	     12		 25.4	 5.0
X	     13		 24.7	 5.1
X	     14		 27.8	 5.2
X	     15		 33.3	 5.9
Z	      1		 45.7	 6.7
Z	      2		 31.6	 5.6
Z	      3		 41.7	 6.5
Z	      4		 27.0	 5.1
Z	      5		 33.4	 5.7
Z	      6		 38.2	 6.2
Z	      7		 29.5	 5.5
Z	      8		 27.3	 5.1
Z	      9		 18.4	 4.2
Z	     10		 30.6	 5.5
Z	     11		 52.9	 7.1
Z	     12		 30.3	 5.5
Z	     13		 29.0	 5.4
Z	     14		 35.9	 6.0
Z	     15		 41.3	 6.5
