plane 	bar 	a (MeV) 	b 		corr. coeff. 
X 	 1 	 -0.0242 	  1.1046 	  0.9998 
X 	 2 	  0.0335 	  0.9953 	  1.0000 
X 	 3 	  0.1453 	  0.8979 	  0.9997 
X 	 4 	 -0.0240 	  1.0321 	  0.9999 
X 	 5 	 -0.0245 	  1.0139 	  1.0000 
X 	 6 	  0.0316 	  0.9948 	  1.0000 
X 	 7 	 -0.0590 	  1.0564 	  1.0000 
X 	 8 	  0.0242 	  0.9976 	  1.0000 
X 	 9 	  0.0787 	  0.9835 	  0.9997 
X 	10 	 -0.0236 	  1.0003 	  1.0000 
X 	11 	  0.0379 	  0.9852 	  1.0000 
X 	12 	  0.0612 	  0.9668 	  1.0000 
X 	13 	  0.0891 	  0.9559 	  0.9998 
X 	14 	 -0.0010 	  1.0075 	  1.0000 
X 	15 	  0.0010 	  1.0116 	  1.0000 
Z 	 1 	 -0.0993 	  1.0849 	  0.9997 
Z 	 2 	  0.0740 	  0.9969 	  0.9997 
Z 	 3 	  0.0619 	  0.9781 	  1.0000 
Z 	 4 	  0.1066 	  0.9967 	  0.9999 
Z 	 5 	 -0.0040 	  0.9758 	  0.9999 
Z 	 6 	 -0.0274 	  1.0172 	  1.0000 
Z 	 7 	  0.1276 	  0.9805 	  0.9999 
Z 	 8 	  0.0240 	  1.0258 	  0.9999 
Z 	 9 	  0.1570 	  0.9034 	  0.9996 
Z 	10 	  0.0511 	  0.9996 	  1.0000 
Z 	11 	  0.0035 	  1.0149 	  1.0000 
Z 	12 	  0.1021 	  0.9880 	  0.9993 
Z 	13 	 -0.0026 	  1.0373 	  1.0000 
Z 	14 	 -0.0777 	  1.0786 	  1.0000 
Z 	15 	 -0.0470 	  1.0568 	  0.8288 
/home/martino/mcalsw/bin/mcalsw_output/misc/peak_3899_1275keV_5.txt
/home/martino/mcalsw/bin/mcalsw_output/misc/peak_3785_1461keV_12.txt
/home/martino/mcalsw/bin/mcalsw_output/misc/peak_3785_2615keV_8.txt
