run	 10993
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	      1.397	      0.041	      2.270	      0.052
2	       0.35	       0.70	     30.161	      0.190	     36.546	      0.209
3	       0.70	       1.40	     23.034	      0.166	     27.503	      0.181
4	       1.40	       2.80	      8.706	      0.102	      8.587	      0.101
5	       2.80	       5.60	      4.100	      0.070	      3.992	      0.069
6	       5.60	      11.20	     14.046	      0.130	     14.396	      0.131
7	      11.20	      22.40	      7.586	      0.095	      6.528	      0.088
8	      22.40	      44.80	      1.541	      0.043	      1.304	      0.040
9	      44.80	      89.60	      0.273	      0.018	      0.245	      0.017
10	      89.60	    1433.60	      0.089	      0.010	      0.092	      0.011
