run	 10993
rate	 164.72
plane	 bar	 rate (evt/s)	 sigma
X	      1		 6.8195	 2.4809
X	      2		 6.6655	 2.5472
X	      3		 5.9737	 2.3146
X	      4		 7.2286	 2.7023
X	      5		 6.9703	 2.6085
X	      6		 6.8719	 2.4242
X	      7		 7.4454	 2.6300
X	      8		 7.0261	 2.5874
X	      9		 6.2908	 2.3696
X	     10		 7.4964	 2.5777
X	     11		 6.8633	 2.7364
X	     12		 6.1826	 2.3856
X	     13		 6.1817	 2.4077
X	     14		 7.6508	 2.7357
X	     15		 7.5635	 2.7371
Z	      1		 8.9620	 2.9002
Z	      2		 9.0676	 2.9774
Z	      3		 7.7082	 2.7905
Z	      4		 7.5765	 2.6414
Z	      5		 7.5943	 2.6783
Z	      6		 8.4881	 2.8022
Z	      7		 6.7945	 2.5168
Z	      8		 7.1578	 2.6053
Z	      9		 5.8520	 2.3606
Z	     10		 7.0665	 2.6255
Z	     11		 7.4069	 2.5929
Z	     12		 5.7078	 2.3277
Z	     13		 6.9620	 2.6220
Z	     14		 7.8088	 2.7458
Z	     15		 8.4323	 2.7385
