run 	10991
bar 	muon MPV (MeV) 	sigma (MeV) 	frequency (evt/s)
X1 	  8.93 		  1.17 		 0.107 		
X2 	  9.35 		  1.21 		 0.147 		
X3 	 10.28 		  1.30 		 0.159 		
X4 	  9.48 		  1.14 		 0.167 		
X5 	  9.64 		  1.22 		 0.184 		
X6 	  9.28 		  1.12 		 0.168 		
X7 	  9.33 		  1.10 		 0.183 		
X8 	  9.75 		  1.22 		 0.183 		
X9 	  9.82 		  1.20 		 0.196 		
X10 	  9.63 		  1.14 		 0.179 		
X11 	  9.77 		  1.23 		 0.184 		
X12 	  9.79 		  1.01 		 0.150 		
X13 	  9.62 		  0.87 		 0.146 		
X14 	  9.48 		  1.11 		 0.146 		
X15 	  9.78 		  1.20 		 0.100 		
Z1 	  9.15 		  1.01 		 0.095 		
Z2 	  9.19 		  1.03 		 0.126 		
Z3 	  9.16 		  0.92 		 0.117 		
Z4 	  9.57 		  1.01 		 0.165 		
Z5 	  9.60 		  1.19 		 0.155 		
Z6 	  9.54 		  1.16 		 0.164 		
Z7 	  9.32 		  1.00 		 0.164 		
Z8 	  9.32 		  1.12 		 0.177 		
Z9 	 10.72 		  1.33 		 0.171 		
Z10 	  9.36 		  1.13 		 0.162 		
Z11 	  9.08 		  1.05 		 0.156 		
Z12 	  9.47 		  1.04 		 0.150 		
Z13 	  8.94 		  1.01 		 0.150 		
Z14 	  9.03 		  1.04 		 0.119 		
Z15 	  9.15 		  1.08 		 0.109 		
