run 	10548
bar 	E_th 50% (MeV) 	E_th 90% (MeV)
X1 	 0.440 		 0.460
X2 	 0.460 		 0.500
X3 	 0.400 		 0.440
X4 	 0.460 		 0.480
X5 	 0.440 		 0.460
X6 	 0.460 		 0.500
X7 	 0.460 		 0.500
X8 	 0.400 		 0.440
X9 	 0.400 		 0.440
X10 	 0.480 		 0.500
X11 	 0.440 		 0.480
X12 	 0.400 		 0.460
X13 	 0.400 		 0.440
X14 	 0.440 		 0.500
X15 	 0.440 		 0.480
Z1 	 0.460 		 0.500
Z2 	 0.240 		 0.300
Z3 	 0.440 		 0.480
Z4 	 0.140 		 0.200
Z5 	 0.520 		 0.560
Z6 	 0.480 		 0.520
Z7 	 0.360 		 0.400
Z8 	 0.380 		 0.420
Z9 	 0.420 		 0.480
Z10 	 0.440 		 0.500
Z11 	 0.460 		 0.520
Z12 	 0.400 		 0.440
Z13 	 0.420 		 0.440
Z14 	 0.460 		 0.500
Z15 	 0.480 		 0.500
