plane	 bar	 PD	 offset		 sigma	 ampl
X	 1	 A	 192.440	 2.234	 15761.3
X	 2	 A	 182.190	 2.144	 16112.3
X	 3	 A	 157.481	 2.332	 14259.9
X	 4	 A	 146.599	 2.087	 14113.0
X	 5	 A	 160.873	 2.259	 13110.7
X	 6	 A	 157.924	 2.190	 15015.2
X	 7	 A	 213.991	 2.155	 15969.7
X	 8	 A	 165.170	 2.213	 15893.5
X	 9	 A	 183.635	 2.143	 16566.1
X	 10	 A	 187.345	 2.125	 17120.6
X	 11	 A	 196.518	 2.210	 16385.6
X	 12	 A	 153.068	 2.119	 17359.2
X	 13	 A	 162.987	 2.192	 16835.3
X	 14	 A	 165.406	 2.607	 14362.1
X	 15	 A	 187.423	 2.198	 16834.7
Z	 1	 A	 200.018	 2.418	 15983.6
Z	 2	 A	 165.193	 2.796	 13684.8
Z	 3	 A	 195.438	 2.371	 16156.8
Z	 4	 A	 142.705	 2.672	 14279.1
Z	 5	 A	 152.286	 2.493	 15305.3
Z	 6	 A	 180.330	 2.271	 16648.9
Z	 7	 A	 185.792	 2.307	 16337.3
Z	 8	 A	 177.540	 2.091	 17602.0
Z	 9	 A	 142.703	 2.289	 16253.8
Z	 10	 A	 165.005	 2.188	 16519.8
Z	 11	 A	 190.812	 2.210	 15166.7
Z	 12	 A	 135.561	 2.185	 14543.6
Z	 13	 A	 119.315	 2.133	 14905.0
Z	 14	 A	 170.898	 2.195	 15992.8
Z	 15	 A	 167.969	 2.332	 15006.1
X	 1	 B	 162.595	 2.261	 15605.3
X	 2	 B	 167.314	 2.227	 15701.1
X	 3	 B	 182.651	 2.163	 15735.3
X	 4	 B	 194.957	 2.260	 13521.1
X	 5	 B	 136.489	 2.144	 14102.0
X	 6	 B	 145.421	 2.093	 15960.3
X	 7	 B	 167.757	 2.225	 15849.2
X	 8	 B	 169.186	 2.217	 15939.6
X	 9	 B	 152.418	 2.086	 17209.5
X	 10	 B	 190.470	 2.171	 16787.9
X	 11	 B	 173.879	 2.122	 17309.2
X	 12	 B	 182.576	 2.081	 17530.6
X	 13	 B	 131.627	 2.179	 17027.4
X	 14	 B	 162.993	 2.353	 15782.3
X	 15	 B	 152.517	 2.186	 17023.3
Z	 1	 B	 195.485	 2.394	 15975.9
Z	 2	 B	 194.834	 2.910	 13124.9
Z	 3	 B	 154.450	 2.379	 16034.1
Z	 4	 B	 125.409	 2.702	 14078.8
Z	 5	 B	 163.898	 2.288	 16574.4
Z	 6	 B	 201.155	 2.292	 16450.6
Z	 7	 B	 212.565	 2.133	 17538.9
Z	 8	 B	 194.203	 2.302	 15962.4
Z	 9	 B	 165.171	 2.241	 16339.9
Z	 10	 B	 159.124	 2.238	 15847.3
Z	 11	 B	 196.295	 2.144	 15430.4
Z	 12	 B	 138.026	 2.154	 14425.1
Z	 13	 B	 177.086	 2.029	 15359.5
Z	 14	 B	 174.381	 2.168	 15812.8
Z	 15	 B	 145.009	 2.139	 16194.2
