run	 6797
rate	 743.13
plane	 bar	 rate (evt/s)	 sigma
X	      1		 34.0770	 5.8311
X	      2		 28.3410	 5.3148
X	      3		 21.3020	 4.5649
X	      4		 30.3893	 5.6459
X	      5		 30.4947	 5.3981
X	      6		 25.1270	 4.9978
X	      7		 28.5041	 5.3647
X	      8		 25.5906	 5.0519
X	      9		 23.9165	 4.7874
X	     10		 33.4799	 5.7479
X	     11		 26.3991	 5.1544
X	     12		 24.0779	 4.8751
X	     13		 23.7054	 4.7733
X	     14		 28.6551	 5.2468
X	     15		 30.3425	 5.5243
Z	      1		 30.5609	 5.4471
Z	      2		 31.7222	 5.5696
Z	      3		 26.5265	 5.2169
Z	      4		 27.0249	 5.1935
Z	      5		 24.7216	 4.9716
Z	      6		 29.9239	 5.4483
Z	      7		 28.8993	 5.3037
Z	      8		 26.5281	 5.2147
Z	      9		 24.9902	 5.0958
Z	     10		 26.6139	 5.3863
Z	     11		 26.9577	 5.2518
Z	     12		 21.2665	 4.6740
Z	     13		 28.8932	 5.4264
Z	     14		 37.3828	 6.0909
Z	     15		 37.6134	 6.2667
