run 	10994
plane 	bar 	PD 	C1 (ch)	sigma1 	C2 (ch)	sigma2
X 	1 	A 	1998.0 	  1.28 	3713.0 	  1.35
X 	2 	A 	2068.2 	  1.34 	3834.4 	  1.55
X 	3 	A 	2055.8 	  1.50 	3841.5 	  1.76
X 	4 	A 	1991.6 	  1.46 	3701.4 	  1.83
X 	5 	A 	2015.5 	  1.35 	3765.9 	  1.63
X 	6 	A 	2026.1 	  1.35 	3770.5 	  1.81
X 	7 	A 	1981.1 	  1.29 	3672.7 	  1.45
X 	8 	A 	2020.5 	  1.79 	3760.9 	  1.66
X 	9 	A 	2033.4 	  1.30 	3781.6 	  1.74
X 	10 	A 	1958.4 	  1.62 	3638.8 	  1.66
X 	11 	A 	1981.8 	  1.36 	3702.7 	  1.66
X 	12 	A 	1940.8 	  1.63 	3602.8 	  1.62
X 	13 	A 	1931.5 	  1.32 	3602.5 	  1.66
X 	14 	A 	2010.1 	  1.65 	3733.5 	  1.75
X 	15 	A 	2034.0 	  1.35 	3794.9 	  1.54
Z 	1 	A 	1899.1 	  1.36 	3549.6 	  1.36
Z 	2 	A 	2011.2 	  1.41 	3721.9 	  1.57
Z 	3 	A 	1907.0 	  1.39 	3560.8 	  1.72
Z 	4 	A 	2016.9 	  1.64 	3745.3 	  1.74
Z 	5 	A 	1920.9 	  1.55 	3601.3 	  1.74
Z 	6 	A 	2055.9 	  1.57 	3827.2 	  1.76
Z 	7 	A 	2052.0 	  1.39 	3812.1 	  1.57
Z 	8 	A 	1957.2 	  1.46 	3610.7 	  1.64
Z 	9 	A 	1938.3 	  1.34 	3616.3 	  1.76
Z 	10 	A 	1955.4 	  1.50 	3649.0 	  1.68
Z 	11 	A 	2014.3 	  1.40 	3729.0 	  1.69
Z 	12 	A 	2024.0 	  1.49 	3747.1 	  1.74
Z 	13 	A 	2028.5 	  1.46 	3758.3 	  1.64
Z 	14 	A 	2043.9 	  1.46 	3813.0 	  1.56
Z 	15 	A 	2130.7 	  1.49 	3943.5 	  1.72
X 	1 	B 	2040.4 	  1.38 	3841.5 	  1.69
X 	2 	B 	2010.7 	  1.34 	3771.8 	  1.54
X 	3 	B 	2032.2 	  1.36 	3760.5 	  1.55
X 	4 	B 	2077.8 	  1.38 	3846.5 	  1.57
X 	5 	B 	2045.9 	  1.36 	3775.9 	  1.57
X 	6 	B 	2032.7 	  1.27 	3805.6 	  1.52
X 	7 	B 	2053.1 	  1.34 	3810.2 	  1.57
X 	8 	B 	2048.3 	  1.35 	3806.2 	  1.47
X 	9 	B 	1966.4 	  1.29 	3639.4 	  1.38
X 	10 	B 	2041.2 	  1.44 	3789.7 	  1.69
X 	11 	B 	2027.6 	  1.36 	3798.3 	  1.57
X 	12 	B 	1964.0 	  1.29 	3661.9 	  1.57
X 	13 	B 	2137.1 	  1.42 	3972.9 	  1.55
X 	14 	B 	2075.8 	  1.46 	3896.0 	  1.51
X 	15 	B 	2106.6 	  1.41 	3929.0 	  1.63
Z 	1 	B 	2087.3 	  1.33 	3892.3 	  1.42
Z 	2 	B 	2025.7 	  1.58 	3771.6 	  1.57
Z 	3 	B 	2064.0 	  1.46 	3836.1 	  1.80
Z 	4 	B 	2012.9 	  1.59 	3773.1 	  1.66
Z 	5 	B 	2021.9 	  1.46 	3761.4 	  1.66
Z 	6 	B 	2063.1 	  1.31 	3855.4 	  1.71
Z 	7 	B 	2027.1 	  1.49 	3768.2 	  1.51
Z 	8 	B 	2076.4 	  1.43 	3876.4 	  1.63
Z 	9 	B 	2083.1 	  1.38 	3907.4 	  1.51
Z 	10 	B 	2009.4 	  1.42 	3751.0 	  1.54
Z 	11 	B 	1976.3 	  1.52 	3673.8 	  1.56
Z 	12 	B 	2024.3 	  1.42 	3766.0 	  1.64
Z 	13 	B 	2039.3 	  1.76 	3779.7 	  1.73
Z 	14 	B 	2098.7 	  1.41 	3909.4 	  1.63
Z 	15 	B 	1957.6 	  1.44 	3659.2 	  1.66
