run	 4054
rate	 15.85
plane	 bar	 rate (evt/s)	 sigma
X	      1		 15.8	 4.0
X	      2		 15.8	 4.0
X	      3		 15.8	 4.0
X	      4		 15.8	 4.0
X	      5		 15.8	 4.0
X	      6		 15.8	 4.0
X	      7		 15.8	 4.0
X	      8		 15.8	 4.0
X	      9		 15.8	 4.0
X	     10		 15.8	 4.0
X	     11		 15.8	 4.0
X	     12		 15.8	 4.0
X	     13		 15.8	 4.0
X	     14		 15.8	 4.0
X	     15		 15.8	 4.0
Z	      1		 15.8	 4.0
Z	      2		 15.8	 4.0
Z	      3		 15.8	 4.0
Z	      4		 15.8	 4.0
Z	      5		 15.8	 4.0
Z	      6		 15.8	 4.0
Z	      7		 15.8	 4.0
Z	      8		 15.8	 4.0
Z	      9		 15.8	 4.0
Z	     10		 15.8	 4.0
Z	     11		 15.8	 4.0
Z	     12		 15.8	 4.0
Z	     13		 15.8	 4.0
Z	     14		 15.8	 4.0
Z	     15		 15.8	 4.0
