run	 5005
rate	 29.37
plane	 bar	 rate (evt/s)	 sigma
X	      1		 29.4	 5.4
X	      2		 29.4	 5.4
X	      3		 29.4	 5.4
X	      4		 29.4	 5.4
X	      5		 29.4	 5.4
X	      6		 29.4	 5.4
X	      7		 29.4	 5.4
X	      8		 29.4	 5.4
X	      9		 29.4	 5.4
X	     10		 29.4	 5.4
X	     11		 29.4	 5.4
X	     12		 29.4	 5.4
X	     13		 29.4	 5.4
X	     14		 29.4	 5.4
X	     15		 29.4	 5.4
Z	      1		 29.4	 5.4
Z	      2		 29.4	 5.4
Z	      3		 29.4	 5.4
Z	      4		 29.4	 5.4
Z	      5		 29.4	 5.4
Z	      6		 29.4	 5.4
Z	      7		 29.4	 5.4
Z	      8		 29.4	 5.4
Z	      9		 29.4	 5.4
Z	     10		 29.4	 5.4
Z	     11		 29.4	 5.4
Z	     12		 29.4	 5.4
Z	     13		 29.4	 5.4
Z	     14		 29.4	 5.4
Z	     15		 29.4	 5.4
