run	 3939
rate	 558.09
plane	 bar	 rate (evt/s)	 sigma
X	      1		 22.5	 4.7
X	      2		 20.3	 4.3
X	      3		 17.8	 3.8
X	      4		 21.9	 4.1
X	      5		 21.1	 4.9
X	      6		 20.5	 4.8
X	      7		 21.8	 4.7
X	      8		 20.5	 4.5
X	      9		 19.3	 4.2
X	     10		 23.7	 4.9
X	     11		 20.4	 4.5
X	     12		 19.7	 4.6
X	     13		 19.5	 4.5
X	     14		 23.7	 5.0
X	     15		 25.3	 4.8
Z	      1		 27.4	 5.2
Z	      2		 26.3	 5.2
Z	      3		 20.6	 4.7
Z	      4		 19.9	 4.4
Z	      5		 20.1	 4.3
Z	      6		 25.4	 5.0
Z	      7		 18.5	 4.3
Z	      8		 20.5	 4.4
Z	      9		 18.5	 4.4
Z	     10		 18.3	 4.2
Z	     11		 20.7	 4.2
Z	     12		 16.9	 4.1
Z	     13		 20.4	 4.6
Z	     14		 23.9	 5.0
Z	     15		 26.2	 4.6
