run 	10995
plane 	bar 	PD 	C1 (ch)	sigma1 	C2 (ch)	sigma2
X 	1 	A 	 365.5 	  1.22 	 441.4 	  1.31
X 	2 	A 	 383.7 	  1.84 	 462.9 	  1.42
X 	3 	A 	 356.0 	  2.04 	 435.5 	  1.29
X 	4 	A 	 359.7 	  2.05 	 436.8 	  1.25
X 	5 	A 	 346.7 	  1.73 	 425.0 	  1.38
X 	6 	A 	 361.3 	  2.26 	 439.2 	  1.54
X 	7 	A 	 371.5 	  1.68 	 447.6 	  1.41
X 	8 	A 	 360.4 	  2.17 	 439.1 	  1.44
X 	9 	A 	 365.8 	  1.65 	 444.9 	  1.30
X 	10 	A 	 359.4 	  1.62 	 435.1 	  1.27
X 	11 	A 	 341.1 	  1.76 	 418.7 	  1.39
X 	12 	A 	 355.3 	  1.81 	 430.4 	  1.31
X 	13 	A 	 336.2 	  1.94 	 411.3 	  1.31
X 	14 	A 	 368.4 	  2.06 	 445.4 	  1.69
X 	15 	A 	 354.1 	  1.74 	 433.5 	  1.33
Z 	1 	A 	 328.1 	  1.26 	 400.8 	  1.24
Z 	2 	A 	 387.1 	  1.34 	 461.2 	  1.70
Z 	3 	A 	 333.3 	  1.39 	 405.4 	  1.48
Z 	4 	A 	 376.5 	  1.53 	 451.5 	  1.70
Z 	5 	A 	 327.0 	  1.41 	 400.5 	  1.58
Z 	6 	A 	 368.8 	  1.38 	 446.6 	  1.65
Z 	7 	A 	 375.9 	  1.38 	 453.4 	  1.50
Z 	8 	A 	 385.2 	  1.45 	 457.7 	  1.62
Z 	9 	A 	 360.2 	  1.30 	 431.6 	  1.43
Z 	10 	A 	 344.9 	  1.53 	 418.7 	  1.74
Z 	11 	A 	 382.4 	  1.43 	 457.9 	  1.65
Z 	12 	A 	 383.8 	  1.32 	 459.0 	  1.44
Z 	13 	A 	 384.2 	  1.24 	 459.5 	  1.55
Z 	14 	A 	 358.3 	  1.59 	 436.1 	  1.79
Z 	15 	A 	 403.1 	  1.34 	 482.9 	  1.68
X 	1 	B 	 324.8 	  1.65 	 405.3 	  1.37
X 	2 	B 	 331.1 	  1.60 	 410.3 	  1.33
X 	3 	B 	 384.6 	  1.84 	 462.7 	  1.29
X 	4 	B 	 390.7 	  1.76 	 469.5 	  1.33
X 	5 	B 	 397.7 	  1.96 	 475.2 	  1.50
X 	6 	B 	 341.3 	  1.66 	 420.8 	  1.47
X 	7 	B 	 380.9 	  2.07 	 458.9 	  1.47
X 	8 	B 	 372.0 	  1.67 	 450.3 	  1.39
X 	9 	B 	 372.8 	  1.63 	 446.9 	  1.32
X 	10 	B 	 374.3 	  1.55 	 452.5 	  1.30
X 	11 	B 	 339.6 	  1.63 	 419.1 	  1.45
X 	12 	B 	 343.8 	  1.77 	 420.2 	  1.32
X 	13 	B 	 385.3 	  1.78 	 467.2 	  1.43
X 	14 	B 	 338.9 	  1.58 	 420.8 	  1.44
X 	15 	B 	 368.6 	  1.83 	 449.9 	  1.43
Z 	1 	B 	 368.9 	  1.22 	 447.9 	  1.38
Z 	2 	B 	 370.0 	  1.55 	 445.3 	  1.46
Z 	3 	B 	 383.7 	  1.46 	 460.2 	  1.51
Z 	4 	B 	 343.2 	  1.50 	 419.0 	  1.66
Z 	5 	B 	 368.0 	  1.25 	 443.5 	  1.53
Z 	6 	B 	 356.2 	  1.42 	 434.7 	  1.54
Z 	7 	B 	 368.7 	  1.23 	 445.8 	  1.57
Z 	8 	B 	 363.0 	  1.31 	 442.4 	  1.63
Z 	9 	B 	 365.0 	  1.30 	 443.9 	  1.33
Z 	10 	B 	 350.5 	  1.45 	 427.5 	  1.64
Z 	11 	B 	 359.8 	  1.63 	 434.5 	  1.74
Z 	12 	B 	 366.5 	  1.30 	 443.6 	  1.52
Z 	13 	B 	 382.5 	  1.35 	 459.6 	  1.42
Z 	14 	B 	 370.4 	  1.43 	 449.7 	  1.58
Z 	15 	B 	 339.0 	  1.51 	 413.8 	  1.82
