run 	10575
plane 	bar 	PD 	C1 (ch)	sigma1 	C2 (ch)	sigma2
X 	1 	A 	 366.3 	  1.49 	 439.8 	  1.46
X 	2 	A 	 383.4 	  1.57 	 458.5 	  1.69
X 	3 	A 	 355.3 	  1.65 	 430.1 	  1.59
X 	4 	A 	 359.5 	  1.62 	 431.2 	  1.48
X 	5 	A 	 348.5 	  1.61 	 422.6 	  1.59
X 	6 	A 	 361.3 	  1.91 	 434.8 	  1.69
X 	7 	A 	 370.3 	  1.52 	 442.1 	  1.52
X 	8 	A 	 362.4 	  1.65 	 436.0 	  1.63
X 	9 	A 	 363.0 	  1.53 	 437.6 	  1.53
X 	10 	A 	 356.9 	  1.55 	 428.2 	  1.44
X 	11 	A 	 339.5 	  1.41 	 412.4 	  1.52
X 	12 	A 	 354.7 	  1.54 	 424.6 	  1.46
X 	13 	A 	 335.9 	  1.57 	 406.5 	  1.54
X 	14 	A 	 368.2 	  1.58 	 441.3 	  1.61
X 	15 	A 	 354.1 	  1.51 	 429.1 	  1.46
Z 	1 	A 	 329.8 	  1.52 	 401.1 	  1.50
Z 	2 	A 	 386.3 	  1.82 	 458.8 	  1.83
Z 	3 	A 	 328.6 	  1.74 	 399.0 	  1.44
Z 	4 	A 	 373.0 	  1.89 	 446.5 	  1.71
Z 	5 	A 	 323.6 	  1.75 	 395.5 	  1.71
Z 	6 	A 	 367.0 	  1.83 	 442.4 	  1.68
Z 	7 	A 	 373.7 	  1.65 	 450.0 	  1.59
Z 	8 	A 	 387.8 	  1.73 	 458.1 	  1.62
Z 	9 	A 	 356.9 	  1.94 	 426.6 	  1.51
Z 	10 	A 	 343.1 	  1.84 	 415.0 	  1.52
Z 	11 	A 	 381.0 	  1.75 	 455.3 	  1.47
Z 	12 	A 	 381.3 	  1.62 	 455.5 	  1.52
Z 	13 	A 	 381.6 	  1.76 	 455.2 	  1.49
Z 	14 	A 	 357.0 	  1.86 	 433.0 	  1.69
Z 	15 	A 	 401.8 	  1.70 	 479.8 	  1.63
X 	1 	B 	 327.5 	  1.64 	 403.7 	  1.54
X 	2 	B 	 330.2 	  1.51 	 405.9 	  1.58
X 	3 	B 	 384.6 	  1.54 	 458.6 	  1.50
X 	4 	B 	 390.6 	  1.60 	 465.6 	  1.42
X 	5 	B 	 396.2 	  1.70 	 469.5 	  1.59
X 	6 	B 	 341.2 	  1.51 	 417.3 	  1.45
X 	7 	B 	 378.9 	  1.66 	 452.5 	  1.66
X 	8 	B 	 369.6 	  1.57 	 443.5 	  1.52
X 	9 	B 	 372.2 	  1.40 	 442.5 	  1.48
X 	10 	B 	 373.1 	  1.47 	 448.0 	  1.49
X 	11 	B 	 336.7 	  1.55 	 411.2 	  1.61
X 	12 	B 	 347.0 	  1.50 	 419.8 	  1.48
X 	13 	B 	 386.9 	  1.50 	 464.0 	  1.58
X 	14 	B 	 336.1 	  1.49 	 413.5 	  1.56
X 	15 	B 	 367.1 	  1.41 	 445.3 	  1.59
Z 	1 	B 	 367.2 	  1.48 	 444.5 	  1.38
Z 	2 	B 	 367.1 	  1.70 	 440.8 	  1.67
Z 	3 	B 	 381.6 	  1.70 	 457.2 	  1.53
Z 	4 	B 	 340.9 	  1.81 	 415.2 	  1.71
Z 	5 	B 	 364.6 	  1.65 	 439.0 	  1.57
Z 	6 	B 	 352.3 	  1.77 	 429.3 	  1.45
Z 	7 	B 	 365.6 	  1.57 	 440.4 	  1.45
Z 	8 	B 	 360.4 	  1.84 	 438.0 	  1.54
Z 	9 	B 	 360.4 	  1.65 	 438.0 	  1.53
Z 	10 	B 	 351.4 	  1.79 	 426.7 	  1.46
Z 	11 	B 	 355.9 	  2.03 	 429.1 	  1.48
Z 	12 	B 	 363.2 	  1.73 	 438.1 	  1.59
Z 	13 	B 	 380.0 	  1.73 	 455.2 	  1.46
Z 	14 	B 	 369.2 	  1.63 	 446.9 	  1.41
Z 	15 	B 	 336.2 	  1.67 	 408.9 	  1.65
