plane	 bar	 PD	 offset		 sigma	 ampl
X	 1	 A	 192.323	 1.966	 3117.5
X	 2	 A	 181.956	 1.897	 3192.2
X	 3	 A	 157.184	 2.066	 2913.1
X	 4	 A	 146.204	 1.862	 3182.2
X	 5	 A	 160.323	 2.032	 2952.0
X	 6	 A	 157.242	 1.940	 3091.8
X	 7	 A	 214.572	 1.950	 3063.3
X	 8	 A	 164.958	 1.942	 3071.2
X	 9	 A	 183.976	 1.916	 3111.6
X	 10	 A	 186.735	 1.904	 3144.2
X	 11	 A	 195.980	 1.987	 3019.0
X	 12	 A	 153.031	 1.917	 3130.1
X	 13	 A	 162.869	 1.998	 3029.0
X	 14	 A	 164.689	 2.607	 2323.0
X	 15	 A	 187.087	 1.979	 3104.7
Z	 1	 A	 200.175	 2.017	 3049.2
Z	 2	 A	 165.153	 2.342	 2615.4
Z	 3	 A	 195.233	 1.998	 3032.6
Z	 4	 A	 141.394	 2.293	 2622.5
Z	 5	 A	 151.807	 2.125	 2843.4
Z	 6	 A	 180.300	 1.970	 3042.8
Z	 7	 A	 186.024	 1.970	 3052.9
Z	 8	 A	 175.581	 1.775	 3381.3
Z	 9	 A	 141.891	 2.011	 2997.8
Z	 10	 A	 164.121	 1.874	 3212.3
Z	 11	 A	 190.843	 1.928	 3111.4
Z	 12	 A	 133.446	 1.893	 3193.8
Z	 13	 A	 118.765	 1.893	 3199.8
Z	 14	 A	 171.244	 1.918	 3177.8
Z	 15	 A	 166.959	 1.984	 3104.8
X	 1	 B	 162.168	 2.008	 3056.7
X	 2	 B	 166.494	 1.949	 3118.1
X	 3	 B	 182.069	 1.915	 3138.3
X	 4	 B	 193.039	 2.036	 2939.4
X	 5	 B	 136.617	 1.943	 3088.3
X	 6	 B	 144.572	 1.876	 3183.9
X	 7	 B	 167.620	 1.949	 3071.1
X	 8	 B	 168.821	 1.928	 3091.1
X	 9	 B	 151.681	 1.880	 3171.6
X	 10	 B	 190.362	 1.958	 3054.4
X	 11	 B	 172.883	 1.915	 3133.2
X	 12	 B	 181.152	 1.797	 3320.2
X	 13	 B	 130.737	 2.016	 2999.9
X	 14	 B	 162.798	 2.186	 2774.9
X	 15	 B	 152.225	 1.987	 3085.7
Z	 1	 B	 195.623	 2.012	 3053.9
Z	 2	 B	 194.722	 2.433	 2515.0
Z	 3	 B	 153.459	 2.034	 2980.8
Z	 4	 B	 125.179	 2.351	 2563.3
Z	 5	 B	 163.763	 1.993	 3028.3
Z	 6	 B	 199.268	 1.995	 3018.2
Z	 7	 B	 212.625	 1.887	 3185.7
Z	 8	 B	 193.291	 2.045	 2940.1
Z	 9	 B	 164.689	 1.986	 3033.8
Z	 10	 B	 157.555	 1.933	 3115.5
Z	 11	 B	 195.660	 1.896	 3166.8
Z	 12	 B	 136.395	 1.953	 3093.0
Z	 13	 B	 176.919	 1.815	 3320.9
Z	 14	 B	 172.364	 1.922	 3177.1
Z	 15	 B	 145.314	 1.847	 3285.5
