run	 11001
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	     10.611	      0.110	     11.822	      0.116
2	       0.35	       0.70	    255.329	      0.537	    208.431	      0.485
3	       0.70	       1.40	     36.806	      0.204	     51.119	      0.240
4	       1.40	       2.80	      8.414	      0.098	      8.631	      0.099
5	       2.80	       5.60	      3.897	      0.066	      3.788	      0.065
6	       5.60	      11.20	     13.201	      0.122	     13.496	      0.124
7	      11.20	      22.40	      6.935	      0.089	      6.012	      0.082
8	      22.40	      44.80	      1.404	      0.040	      1.243	      0.037
9	      44.80	      89.60	      0.264	      0.017	      0.251	      0.017
10	      89.60	    1433.60	      0.089	      0.010	      0.087	      0.010
