run	 10981
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	      1.623	      0.018	      1.955	      0.020
2	       0.35	       0.70	     30.356	      0.079	     32.708	      0.082
3	       0.70	       1.40	     22.361	      0.068	     23.991	      0.070
4	       1.40	       2.80	      8.392	      0.041	      7.690	      0.040
5	       2.80	       5.60	      4.042	      0.029	      3.752	      0.028
6	       5.60	      11.20	     13.783	      0.053	     12.799	      0.051
7	      11.20	      22.40	      7.348	      0.039	      5.616	      0.034
8	      22.40	      44.80	      1.484	      0.017	      1.097	      0.015
9	      44.80	      89.60	      0.297	      0.008	      0.235	      0.007
10	      89.60	    1433.60	      0.083	      0.004	      0.073	      0.004
