run	 10981
rate	 0.61
plane	 bar	 rate (evt/s)	 sigma
X	      1		 0.0293	 0.0025
X	      2		 0.0418	 0.0029
X	      3		 0.0531	 0.0033
X	      4		 0.0512	 0.0032
X	      5		 0.0549	 0.0034
X	      6		 0.0668	 0.0037
X	      7		 0.0619	 0.0036
X	      8		 0.0635	 0.0036
X	      9		 0.0619	 0.0036
X	     10		 0.0629	 0.0036
X	     11		 0.0527	 0.0033
X	     12		 0.0515	 0.0032
X	     13		 0.0496	 0.0032
X	     14		 0.0387	 0.0028
X	     15		 0.0351	 0.0027
Z	      1		 0.0178	 0.0019
Z	      2		 0.0230	 0.0022
Z	      3		 0.0305	 0.0025
Z	      4		 0.0361	 0.0027
Z	      5		 0.0365	 0.0027
Z	      6		 0.0377	 0.0028
Z	      7		 0.0476	 0.0031
Z	      8		 0.0480	 0.0031
Z	      9		 0.0418	 0.0029
Z	     10		 0.0400	 0.0029
Z	     11		 0.0426	 0.0030
Z	     12		 0.0363	 0.0027
Z	     13		 0.0367	 0.0027
Z	     14		 0.0299	 0.0025
Z	     15		 0.0234	 0.0022
