run	 11001
rate	 616.05
plane	 bar	 rate (evt/s)	 sigma
X	      1		 17.9720	 4.2321
X	      2		 17.5123	 4.1943
X	      3		 12.0302	 3.4463
X	      4		 24.1089	 4.8349
X	      5		 22.7604	 4.7096
X	      6		 22.2081	 4.6805
X	      7		 24.3725	 4.8656
X	      8		 20.4564	 4.4317
X	      9		 16.1823	 3.9416
X	     10		 24.3647	 4.9428
X	     11		 22.3971	 4.7334
X	     12		 19.7975	 4.4024
X	     13		 21.1902	 4.6619
X	     14		 43.2819	 6.4625
X	     15		 41.0973	 6.7114
Z	      1		 22.2886	 4.5823
Z	      2		 25.6566	 5.1490
Z	      3		 19.0660	 4.3012
Z	      4		 21.1801	 4.6559
Z	      5		 25.5078	 5.0013
Z	      6		 32.5638	 5.5920
Z	      7		 21.9821	 4.6968
Z	      8		 23.7864	 4.8035
Z	      9		 11.2282	 3.3912
Z	     10		 14.1029	 3.7736
Z	     11		 20.3725	 4.6000
Z	     12		 10.5682	 3.2384
Z	     13		 18.7036	 4.0798
Z	     14		 25.2293	 5.0806
Z	     15		 24.7651	 4.8865
