run	 5853
rate	 0.67
plane	 bar	 rate (evt/s)	 sigma
X	      1		 0.0410	 0.0018
X	      2		 0.0517	 0.0020
X	      3		 0.0566	 0.0021
X	      4		 0.0594	 0.0022
X	      5		 0.0628	 0.0023
X	      6		 0.0702	 0.0024
X	      7		 0.0654	 0.0023
X	      8		 0.0660	 0.0023
X	      9		 0.0659	 0.0023
X	     10		 0.0637	 0.0023
X	     11		 0.0597	 0.0022
X	     12		 0.0582	 0.0022
X	     13		 0.0567	 0.0021
X	     14		 0.0412	 0.0018
X	     15		 0.0336	 0.0016
Z	      1		 0.0225	 0.0013
Z	      2		 0.0308	 0.0016
Z	      3		 0.0333	 0.0016
Z	      4		 0.0366	 0.0017
Z	      5		 0.0429	 0.0019
Z	      6		 0.0462	 0.0019
Z	      7		 0.0451	 0.0019
Z	      8		 0.0484	 0.0020
Z	      9		 0.0417	 0.0018
Z	     10		 0.0453	 0.0019
Z	     11		 0.0461	 0.0019
Z	     12		 0.0432	 0.0019
Z	     13		 0.0394	 0.0018
Z	     14		 0.0318	 0.0016
Z	     15		 0.0248	 0.0014
