run	 11828
rate	 751.79
plane	 bar	 rate (evt/s)	 sigma
X	      1		 31.1007	 5.2025
X	      2		 27.3490	 5.2374
X	      3		 19.1765	 4.1494
X	      4		 29.4770	 5.0788
X	      5		 29.6028	 5.2390
X	      6		 26.1422	 5.0314
X	      7		 29.6838	 5.3601
X	      8		 26.7571	 4.9860
X	      9		 22.9430	 4.7254
X	     10		 32.7549	 5.6641
X	     11		 27.2724	 5.2811
X	     12		 22.4197	 4.6453
X	     13		 23.7932	 5.0127
X	     14		 31.0526	 5.4374
X	     15		 32.0864	 5.3959
Z	      1		 32.6357	 5.5609
Z	      2		 33.4732	 5.6503
Z	      3		 27.4759	 5.1805
Z	      4		 28.2440	 5.3864
Z	      5		 25.1018	 4.9478
Z	      6		 30.1225	 5.5224
Z	      7		 28.5853	 5.0297
Z	      8		 26.5329	 5.0996
Z	      9		 21.1643	 4.5742
Z	     10		 27.8355	 5.1122
Z	     11		 28.2243	 5.2669
Z	     12		 19.6849	 4.3409
Z	     13		 27.9912	 5.2014
Z	     14		 36.1794	 6.0458
Z	     15		 37.8762	 6.0495
