run	 11828
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	     60.363	      0.258	     39.157	      0.208
2	       0.35	       0.70	    179.378	      0.444	    215.274	      0.487
3	       0.70	       1.40	     95.722	      0.324	    101.625	      0.334
4	       1.40	       2.80	     26.938	      0.172	     23.318	      0.160
5	       2.80	       5.60	      3.530	      0.062	      3.521	      0.062
6	       5.60	      11.20	     12.938	      0.119	     13.187	      0.120
7	      11.20	      22.40	      6.648	      0.086	      5.395	      0.077
8	      22.40	      44.80	      1.202	      0.036	      0.920	      0.032
9	      44.80	      89.60	      0.202	      0.015	      0.219	      0.016
10	      89.60	    1433.60	      0.053	      0.008	      0.063	      0.008
