run	5884
plane 	bar 	PD 	C1 (ch)	sigma1 	C2 (ch)	sigma2
X 	1 	A 	1982.5 	  2.38 	3682.2 	  2.51
X 	2 	A 	2056.1 	  3.14 	3810.5 	  2.98
X 	3 	A 	2041.8 	  3.41 	3814.9 	  3.45
X 	4 	A 	1976.7 	  2.92 	3673.5 	  2.69
X 	5 	A 	2001.8 	  2.69 	3739.0 	  2.93
X 	6 	A 	2011.0 	  2.82 	3743.3 	  2.90
X 	7 	A 	1966.9 	  2.66 	3645.9 	  2.77
X 	8 	A 	2004.9 	  3.12 	3730.4 	  2.94
X 	9 	A 	2019.9 	  2.97 	3758.3 	  3.04
X 	10 	A 	1941.8 	  2.44 	3610.2 	  2.29
X 	11 	A 	1966.1 	  2.81 	3674.4 	  2.83
X 	12 	A 	1921.2 	  2.87 	3564.8 	  2.57
X 	13 	A 	1916.4 	  2.52 	3576.1 	  2.45
X 	14 	A 	1997.5 	  2.76 	3710.2 	  3.01
X 	15 	A 	2020.6 	  2.87 	3770.3 	  2.80
Z 	1 	A 	1889.7 	  3.68 	3529.9 	  3.59
Z 	2 	A 	2000.9 	  3.65 	3701.1 	  3.78
Z 	3 	A 	1892.8 	  4.09 	3539.3 	  3.87
Z 	4 	A 	2005.7 	  4.37 	3726.2 	  4.26
Z 	5 	A 	1907.8 	  4.63 	3576.8 	  4.19
Z 	6 	A 	2040.3 	  4.65 	3801.3 	  4.25
Z 	7 	A 	2038.3 	  3.87 	3789.6 	  3.86
Z 	8 	A 	1947.1 	  3.84 	3590.4 	  4.07
Z 	9 	A 	1924.9 	  3.39 	3591.5 	  3.53
Z 	10 	A 	1943.0 	  3.73 	3626.8 	  3.93
Z 	11 	A 	2003.8 	  3.64 	3708.9 	  3.72
Z 	12 	A 	2009.1 	  3.72 	3721.3 	  3.67
Z 	13 	A 	2016.3 	  3.91 	3735.5 	  3.72
Z 	14 	A 	2031.9 	  3.96 	3789.4 	  3.95
Z 	15 	A 	2118.7 	  4.24 	3921.9 	  3.98
X 	1 	B 	2028.1 	  1.86 	3816.0 	  2.02
X 	2 	B 	1994.7 	  1.72 	3743.0 	  1.62
X 	3 	B 	2016.9 	  1.82 	3732.9 	  1.52
X 	4 	B 	2065.1 	  1.78 	3822.7 	  1.71
X 	5 	B 	2029.7 	  1.81 	3745.3 	  1.58
X 	6 	B 	2020.1 	  1.69 	3783.0 	  1.55
X 	7 	B 	2039.3 	  1.70 	3785.3 	  1.55
X 	8 	B 	2032.9 	  1.82 	3778.2 	  1.63
X 	9 	B 	1949.2 	  1.58 	3608.2 	  1.34
X 	10 	B 	2036.1 	  1.70 	3782.7 	  1.68
X 	11 	B 	2001.1 	  1.75 	3748.3 	  1.73
X 	12 	B 	1954.3 	  1.90 	3641.9 	  1.48
X 	13 	B 	2115.9 	  1.70 	3932.5 	  1.74
X 	14 	B 	2061.3 	  1.80 	3870.4 	  1.82
X 	15 	B 	2092.5 	  1.79 	3903.2 	  1.62
Z 	1 	B 	2075.4 	  1.69 	3869.9 	  1.66
Z 	2 	B 	2011.2 	  2.32 	3744.2 	  2.01
Z 	3 	B 	2049.8 	  2.15 	3809.2 	  1.92
Z 	4 	B 	1998.9 	  1.92 	3747.6 	  1.96
Z 	5 	B 	2008.5 	  2.21 	3741.1 	  2.05
Z 	6 	B 	2045.2 	  2.33 	3824.9 	  2.05
Z 	7 	B 	2013.3 	  1.83 	3745.7 	  1.76
Z 	8 	B 	2061.0 	  2.10 	3849.3 	  1.97
Z 	9 	B 	2069.3 	  1.87 	3883.0 	  1.71
Z 	10 	B 	1996.9 	  1.97 	3727.1 	  1.71
Z 	11 	B 	1960.0 	  1.99 	3644.8 	  1.61
Z 	12 	B 	2008.3 	  1.92 	3738.5 	  1.64
Z 	13 	B 	2022.7 	  2.07 	3747.4 	  1.71
Z 	14 	B 	2084.2 	  2.14 	3883.4 	  1.83
Z 	15 	B 	1940.7 	  2.00 	3628.6 	  1.94
