run	 3939
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	      6.003	      0.141	      5.452	      0.134
2	       0.35	       0.70	    145.496	      0.693	    141.476	      0.683
3	       0.70	       1.40	     99.583	      0.573	     94.995	      0.560
4	       1.40	       2.80	     24.821	      0.286	     20.970	      0.263
5	       2.80	       5.60	      3.620	      0.109	      3.439	      0.107
6	       5.60	      11.20	     13.676	      0.212	     13.353	      0.210
7	      11.20	      22.40	      7.099	      0.153	      5.693	      0.137
8	      22.40	      44.80	      1.238	      0.064	      1.056	      0.059
9	      44.80	      89.60	      0.290	      0.031	      0.238	      0.028
10	      89.60	    1433.60	      0.056	      0.014	      0.066	      0.015
