run	 5012
band	 E_min (MeV)	 E_max (MeV)	 rm_X (evt/s)	 sigma_X	 rm_Z (evt/s)	 sigma_Z
1	       0.17	       0.35	      6.294	      0.064	      7.219	      0.068
2	       0.35	       0.70	    128.868	      0.288	    139.788	      0.300
3	       0.70	       1.40	     87.038	      0.236	     94.830	      0.247
4	       1.40	       2.80	     22.773	      0.121	     22.032	      0.119
5	       2.80	       5.60	      3.550	      0.048	      3.396	      0.047
6	       5.60	      11.20	     12.997	      0.091	     13.378	      0.093
7	      11.20	      22.40	      7.011	      0.067	      5.944	      0.062
8	      22.40	      44.80	      1.294	      0.029	      1.127	      0.027
9	      44.80	      89.60	      0.245	      0.013	      0.218	      0.012
10	      89.60	    1433.60	      0.054	      0.006	      0.062	      0.006
